ConcurrentLinkedDeque.ConcurrentLinkedDeque()	Constructs an empty deque
Condition.await()	Causes the current thread to wait until it is signalled or interrupted
AtomicBoolean.weakCompareAndSet(boolean,boolean)	Atomically sets the value to the given updated value if the current value the expected value
Date.setMinutes(int)	Sets the minutes of this Date object to the specified value
PriorityBlockingQueue.poll()	Description copied from interface Queue
HashSet.HashSet(int)	Constructs a new empty set the backing HashMap instance has the specified initial capacity and default load factor 0 75
Set.contains(Object)	Returns true if this set contains the specified element
SortedSet.first()	Returns the first lowest element currently in this set
ConcurrentSkipListMap.floorKey(K)	Description copied from interface NavigableMap
Pack200.Packer.removePropertyChangeListener(PropertyChangeListener)	Remove a listener for PropertyChange events added by the addPropertyChangeListener java beans PropertyChangeListener
Semaphore.Semaphore(int)	Creates a Semaphore with the given number of permits and nonfair fairness setting
TreeMap.putAll(Map)	Copies all of the mappings from the specified map to this map
Logger.entering(String,String,Object)	Log a method entry with one parameter
AtomicBoolean.set(boolean)	Unconditionally sets to the given value
Logger.finer(String)	Log a FINER message
ConcurrentLinkedDeque.iterator()	Returns an iterator over the elements in this deque in proper sequence
EnumSet.of(E,E,E)	Creates an enum set initially containing the specified elements
CountDownLatch.await()	Causes the current thread to wait until the latch has counted down to zero unless the thread is interrupted
Executors.unconfigurableExecutorService(ExecutorService)	Returns an object that delegates all defined ExecutorService methods to the given executor but not any other methods that might otherwise be accessible using casts This provides a way to safely freeze configuration and disallow tuning of a given concrete implementation
ConcurrentSkipListMap.headMap(K,boolean)	Description copied from interface NavigableMap
LinkedBlockingDeque.drainTo(Collection)	Description copied from interface BlockingQueue
Preferences.clear()	Removes all of the preferences key value associations in this preference node This call has no effect on any descendants of this node
Logger.getLogger(String,String)	Find or create a logger for a named subsystem If a logger has already been created with the given name it is returned Otherwise a new logger is created
BlockingDeque.take()	Retrieves and removes the head of the queue represented by this deque in other words the first element of this deque waiting if necessary until an element becomes available
Locale.getVariant()	Returns the variant code for this locale
SortedMap.firstKey()	Returns the first lowest key currently in this map
Locale.getExtensionKeys()	Returns the set of extension keys associated with this locale or the empty set if it has no extensions The returned set is unmodifiable
DeflaterInputStream.available()	Returns 0 after EOF has been reached otherwise always return 1
Preferences.getFloat(String,float)	Returns the float value represented by the string associated with the specified key in this preference node The string is converted to an integer as by Float parseFloat String Returns the specified default if there is no value associated with the key the backing store is inaccessible or if Float parseFloat String would throw a NumberFormatException if the associated value were passed
GregorianCalendar.GregorianCalendar(int,int,int,int,int,int)	Constructs a GregorianCalendar with the given date and time set for the default time zone with the default locale
NavigableMap.ceilingKey(K)	Returns the least key greater than or equal to the given key or null if there is no such key
Scanner.hasNextByte()	Returns true if the next token in this scanner s input can be interpreted as a byte value in the default radix using the nextByte method The scanner does not advance past any input
